"Name","Campus Protests"
"Title","University Campus Protests"
"Date","June 25, 2024 at 03:45 PM (GMT)"
"Duration","02:26:12"
"Participants","315"
"Participant Limit","350"
"Total Screener Polls","8"
"Total Conversation Questions","5"

""
""
"","","Participant Id","Sample Provider Id","What is your gender?","What is your age range?","What is your political affiliation?","What is your religious affiliation? - Christian","What is your religious affiliation? - Muslim","What is your religious affiliation? - Jewish","What is your religious affiliation? - Agnostic/Atheist ","What is your religious affiliation? - Hindu","What is your religious affiliation? - Buddhist ","What is your religious affiliation? - Other","What is your religious affiliation? - Prefer not to respond","What is your highest level of education?","How would you describe where you live?","What is your household income?","Have you ever participated in any form of public protest?","What are your impressions of the campus protests?","Sentiment","All (%agree)","What are you impressions of how campus administrators handled the protests?","Sentiment","All (%agree)","Can you describe any ways the campus protests have affected you?","Sentiment","Categories","What are your thoughts on the way university campus administrators should approach the issue of Israel/Gaza demonstrations?","Sentiment","All (%agree)","What should guide university campus administrators handling of protests?","Sentiment","All (%agree)","Muted"
"","","0608890a-5c39-400b-b25b-8907d6cf5f43","","Female","40-49","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Suburban","$81--$120k","No","I’m very much in favor of peaceful protests. I support the right for anyone to do so, even if I disagree with their ideas/opinions. I’m very much opposed to protests that are destructive or violence. ","Neutral","60%","I think there’s been a wide variety of responses. Some seem to have been respectful of peaceful protests and some seem very heavy handed and their responses have seemed like an over reaction. Other times, they have responded in a manner that was necessary to keep things under control when protestors have gotten out of hand. ","Neutral","54%","They haven’t had affected me in any real way. ","Neutral","Uncategorized","If the protests are peaceful, I don’t think there should be any real reaction. If they become disruptive or violent, I think appropriate and swift action should be taken. ","Neutral","57%","I think some are loosing site of the fact that these are mostly young adults who are just finding their way in the world. ","Negative","45%","False"
"","","70736bed-7374-49cb-9794-5d1d2b974b62","","Female","18-29","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Urban","$35k-$80k","No","I think that they are usually good, and bring attention to something that needs attention. As long as they stay non violent I think they are a positive way to bring attention to a cause. ","Neutral","53%","Usually I feel that campus administrators don't handle protests well. I think there are a lot of ways to respond to such and they usually pick the worst way. ","Negative","54%","I feel that they've affected me in a positive way because they tend to let me learn more about what is being protested. And even if I don't agree with the protesters they help me to learn. ","Positive","Uncategorized","I feel like they should just let the protesters protest as long as they stay nonviolent. ","Negative","62%","The safety of students on campus. ","Neutral","86%","False"
"","","0924bae0-a537-422d-8cab-7e1e192dc8fc","","Female","30-39","Independent/Other","Christian","--","--","--","--","--","--","--","High school","Suburban","Under $34k","No","I wish there wasn’t such hatred and crime and war to begin with. But protesting shouldn’t be harming anyone in any way.","Negative","55%","I think no force should ever be involved nor distracting from learning . But also we could all learn from what’s going on in the world to help out in any way we can instead of turning there eyes better changes need to be made. ","Neutral","52%","I’m not in school, but I have two boys so I let them know what’s going on in the world. I can’t say I feel affected but I feel helpless in what I can do to help . ","Neutral","Uncategorized","Maybe have a discussion what’s going on and can rally and protest outside of school. ","Neutral","57%","No violent force or expelling if doing the right thing ","Positive","77%","False"
"","","d28d7fea-6649-4b07-98e7-11101bc0210c","","Female","30-39","Democrat","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Urban","$120k+","No","Campus protests are fine if they remain peacful","Neutral","55%","Campus administrators are acting too harshly, students are trying to show support and shouldnt be punished for free speech ","Negative","53%","I have not been affected by campus protests","Neutral","Uncategorized","Campus administrators should support protests and provide campus police only to ensure that they don't turn violent and to make sure that students are safe","Negative","60%","I dont understand the question","Negative","20%","False"
"","","0b97fc7e-2910-4fcd-9b3b-27443373f5a6","","Female","50-59","Democrat","--","--","--","--","--","--","Other","Prefer not to respond","High school","Rural","$35k-$80k","No","If a student goes to college, they have their First Amendment right of freedom to assemble. No matter what you cannot take, someone's First Amendment right away. That is very, very illegal ","Neutral","52%","I think campuses, it should be peaceful. Protesters alone and let them exercise their first amendment right of freedom of speech and freedom to assembl ","Neutral","52%","No I can't because it hasn't affected me people are just trying say what the think it doesn't Bother me or affect me 

","Negative","Uncategorized","Let students protest as long as is peaceful ","Neutral","60%","The LAW ","Neutral","43%","False"
"","","bca921f4-077e-412f-a159-d28742b8e103","","Female","18-29","Republican","--","--","--","Agnostic/Atheist ","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Urban","Under $34k","No","My impressions of the campus protests regarding the Israel-Gaza conflict are that they reflect a complex and emotionally charged issue that deeply divides opinions and perspectives among university students and faculty in the United States. Here are some key points that come to mind:

1. **Diversity of Tactics**: The protests have encompassed a wide range of tactics, from peaceful demonstrations to more disruptive actions. This diversity illustrates the intensity of feelings and the urgency stud","Neutral","59%","The impressions of how campus administrators handled the protests surrounding the Israel-Gaza conflict vary depending on the specific actions taken and the broader context of each university's policies and values. Here are some general impressions based on common approaches observed in such situations:

1. **Varied Responses**: Administrators' responses have been diverse, reflecting the complexity and sensitivity of the issue. Some have chosen to engage in dialogue and consultations with student","Neutral","55%","N/A","Neutral","Uncategorized","The approach that university campus administrators should take towards Israel/Gaza demonstrations is nuanced and should be guided by principles that uphold academic freedom, respect for diverse viewpoints, and the safety and well-being of the campus community","Neutral","60%","Respect for Freedom of Expression: Upholding and protecting the rights of students and faculty to express their views peacefully and engage in lawful demonstrations is paramount. This principle ensures that the university remains a space for open dialogue and diverse perspectives.

","Positive","84%","False"
"","","fbf601f1-6c83-44d0-ba76-121811c0a3f9","","Female","40-49","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$120k+","No","I think campus protests are very healthy for society and that shutting down protests is the wrong action from the universities. What's even worse is the use of police force. Have we not learned from past experience that police force is counter intuitive! If we are a free country, and support the first amendment, then protests should not be blocked. ","Negative","59%","Very poorly! Police force should never be used, unless the protests are violent. If the protests are peaceful, then the students need to be left alone. As for degrees to be withheld, that is not fair as well, especially if the student has completed all the work and passed all the exams. Finally, students should not be suspended if they are acting peacefully.","Negative","51%","They haven't affected me one bit. ","Positive","Uncategorized","If they are peaceful protests, then the administration needs to continue business as usual. If the protests become violent or are disrupting other students right to an education, then they need to be shut down. ","Negative","57%","Common sense and safety for all students/faculty. ","Neutral","85%","False"
"","","7b3c24ce-7d32-424a-8551-2f492b065897","","Female","18-29","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$35k-$80k","Yes","I believe that as long as the protests remain peaceful, they are positive and are a freedom that is allowed to be exercised","Neutral","60%","The administrators took it too far when trying to shut it down","Negative","49%","N/A

","Neutral","Uncategorized","They should allow protests as long as they remain peaceful

","Neutral","62%","business as usual as long as everything remains peaceful

","Positive","50%","False"
"","","3c28c506-c101-4a43-abbf-16ba2323c79c","","Male","30-39","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$35k-$80k","No","I can understand that some students have wanted to protest. I think it was appropriate that some actions were taken to prevent the protests from becoming worse.","Neutral","59%","I think the actions taken to handle the protests were reasonable overall.","Neutral","54%","The campus protests have not affected me personally.","Neutral","Uncategorized","I think they should approach demonstrations as being acceptable as long as they do not become harmful or dangerous to others.","Negative","58%","I think following the law and policies of the campus itself is the best guide for campus administrators regarding protests.","Neutral","78%","False"
"","","6d0f807b-afd4-402b-84eb-9eec6de2c0de","","Male","30-39","Democrat","Christian","--","--","--","--","--","--","--","High school","Suburban","Under $34k","No","I like that students and faculty are able to freely exercise their right to demonstrate and I also like that measures are in place to deal with disruptive protests.","Positive","59%","Campus administrators handled the protests professionally and I hope they continue to find ways to be even more effective at what they are trained to do.","Positive","55%","The campus protests haven't effected me at all mostly because I'm not a student.","Neutral","Uncategorized","I think they should be trained professionals and have experience with solving such a problem.","Negative","45%","They should be guided by a set of strategies developed by experienced and trained handlers of protests.","Neutral","78%","False"
