"Name","Campus Protests"
"Title","University Campus Protests"
"Date","June 25, 2024 at 3:45 PM (GMT)"
"Duration","3:15:00"
"Participant Count","351"
"Participant Limit","350"
"Exercise Type","Preference"
"",""
"Question ID","Participant ID","Thought A ID","Thought B ID","Vote","Timestamp"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d28d7fea-6649-4b07-98e7-11101bc0210c","148b4943-dd67-4193-82ef-4bd138e19559","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Thought A","June 25, 2024 at 3:47 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0924bae0-a537-422d-8cab-7e1e192dc8fc","148b4943-dd67-4193-82ef-4bd138e19559","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Thought A","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b3c24ce-7d32-424a-8551-2f492b065897","148b4943-dd67-4193-82ef-4bd138e19559","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought A","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0924bae0-a537-422d-8cab-7e1e192dc8fc","148b4943-dd67-4193-82ef-4bd138e19559","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought B","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b3c24ce-7d32-424a-8551-2f492b065897","148b4943-dd67-4193-82ef-4bd138e19559","bb603248-4fe8-4a69-b092-aab57cf3ea16","Thought B","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b3c24ce-7d32-424a-8551-2f492b065897","bb603248-4fe8-4a69-b092-aab57cf3ea16","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought A","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b3c24ce-7d32-424a-8551-2f492b065897","148b4943-dd67-4193-82ef-4bd138e19559","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Thought A","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b3c24ce-7d32-424a-8551-2f492b065897","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought A","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0924bae0-a537-422d-8cab-7e1e192dc8fc","bb603248-4fe8-4a69-b092-aab57cf3ea16","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought B","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0924bae0-a537-422d-8cab-7e1e192dc8fc","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","bb603248-4fe8-4a69-b092-aab57cf3ea16","Thought B","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0924bae0-a537-422d-8cab-7e1e192dc8fc","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought B","June 25, 2024 at 3:48 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7833298c-784a-47a7-9e7f-0db3810bfc2f","019e643f-cc3f-4bcc-9280-6966d5389d92","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","0a384272-02e2-43c2-8997-d683ddaf77fa","8914a006-24bd-4aac-ae03-1a470ac10176","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7833298c-784a-47a7-9e7f-0db3810bfc2f","019e643f-cc3f-4bcc-9280-6966d5389d92","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","cedefb50-a905-437a-83b3-ee7db924eb80","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","bb603248-4fe8-4a69-b092-aab57cf3ea16","I disagree with both","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7833298c-784a-47a7-9e7f-0db3810bfc2f","5a0ca1d6-2989-4253-9e67-eee3640227b0","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7833298c-784a-47a7-9e7f-0db3810bfc2f","148b4943-dd67-4193-82ef-4bd138e19559","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","0a384272-02e2-43c2-8997-d683ddaf77fa","5a62f615-9cd1-443f-b3d7-ef18d955357e","Thought A","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","0608890a-5c39-400b-b25b-8907d6cf5f43","8914a006-24bd-4aac-ae03-1a470ac10176","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Thought B","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","cedefb50-a905-437a-83b3-ee7db924eb80","148b4943-dd67-4193-82ef-4bd138e19559","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","I disagree with both","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","09867793-48c3-4ada-867f-6b0af5b9fe16","5a0ca1d6-2989-4253-9e67-eee3640227b0","Thought B","June 25, 2024 at 3:49 PM (GMT)"
