"Name","US foreign relations"
"Title","US involvement in other countries' armed conflicts"
"Date","June 25, 2024 at 03:56 PM (GMT)"
"Duration","02:10:51"
"Participants","323"
"Participant Limit","350"
"Total Screener Polls","3"
"Total Conversation Questions","6"


"Question ID","Question Type","Question","Responses","All(323)","O1: Republican (100)","O1: Democrat (114)","O1: Other/Independent (109)","O2: 18-24 (38)","O2: 25-34 (55)","O2: 35-44 (53)","O2: 45-54 (50)","O2: 55-64 (81)","O2: 65+ (46)","O3: Suburban (170)","O3: Urban (89)","O3: Rural (64)","young republicans (<35) (22)","older republicans (>35) (78)","young democrats (32)","older democrats (82)","young independents (39)","older independents (70)"
"69f52433-b700-49de-8ef8-a1448d82e070","Poll Single Select","What political party do you most identify with?","Republican","31.0%","100.0%","0.0%","0.0%","18.4%","27.3%","30.2%","28.0%","38.3%","37.0%","29.4%","24.7%","43.8%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%"
"69f52433-b700-49de-8ef8-a1448d82e070","Poll Single Select","What political party do you most identify with?","Democrat","35.3%","0.0%","100.0%","0.0%","39.5%","30.9%","34.0%","34.0%","37.0%","37.0%","38.8%","39.3%","20.3%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%"
"69f52433-b700-49de-8ef8-a1448d82e070","Poll Single Select","What political party do you most identify with?","Other/Independent","33.7%","0.0%","0.0%","100.0%","42.1%","41.8%","35.8%","38.0%","24.7%","26.1%","31.8%","36.0%","35.9%","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%"

"Question ID","Question Type","Question","Responses","All(323)","O1: Republican (100)","O1: Democrat (114)","O1: Other/Independent (109)","O2: 18-24 (38)","O2: 25-34 (55)","O2: 35-44 (53)","O2: 45-54 (50)","O2: 55-64 (81)","O2: 65+ (46)","O3: Suburban (170)","O3: Urban (89)","O3: Rural (64)","young republicans (<35) (22)","older republicans (>35) (78)","young democrats (32)","older democrats (82)","young independents (39)","older independents (70)"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","18-24","11.8%","7.0%","13.2%","14.7%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","11.2%","13.5%","10.9%","31.8%","0.0%","46.9%","0.0%","41.0%","0.0%"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","25-34","17.0%","15.0%","14.9%","21.1%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","12.4%","24.7%","18.8%","68.2%","0.0%","53.1%","0.0%","59.0%","0.0%"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","35-44","16.4%","16.0%","15.8%","17.4%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","17.1%","12.4%","20.3%","0.0%","20.5%","0.0%","22.0%","0.0%","27.1%"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","45-54","15.5%","14.0%","14.9%","17.4%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","15.9%","18.0%","10.9%","0.0%","17.9%","0.0%","20.7%","0.0%","27.1%"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","55-64","25.1%","31.0%","26.3%","18.3%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","27.6%","20.2%","25.0%","0.0%","39.7%","0.0%","36.6%","0.0%","28.6%"
"cd4b4729-df1c-4b8a-8a1d-b140a1f7ef95","Poll Single Select","What is your age?","65+","14.2%","17.0%","14.9%","11.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","15.9%","11.2%","14.1%","0.0%","21.8%","0.0%","20.7%","0.0%","17.1%"

"Question ID","Question Type","Question","Responses","All(323)","O1: Republican (100)","O1: Democrat (114)","O1: Other/Independent (109)","O2: 18-24 (38)","O2: 25-34 (55)","O2: 35-44 (53)","O2: 45-54 (50)","O2: 55-64 (81)","O2: 65+ (46)","O3: Suburban (170)","O3: Urban (89)","O3: Rural (64)","young republicans (<35) (22)","older republicans (>35) (78)","young democrats (32)","older democrats (82)","young independents (39)","older independents (70)"
"d3824d52-41f0-49eb-8458-3361ecb387d1","Poll Single Select","What best describes the region you live in?","Suburban","52.6%","50.0%","57.9%","49.5%","50.0%","38.2%","54.7%","54.0%","58.0%","58.7%","100.0%","0.0%","0.0%","45.5%","51.3%","56.3%","58.5%","30.8%","60.0%"
"d3824d52-41f0-49eb-8458-3361ecb387d1","Poll Single Select","What best describes the region you live in?","Urban","27.6%","22.0%","30.7%","29.4%","31.6%","40.0%","20.8%","32.0%","22.2%","21.7%","0.0%","100.0%","0.0%","27.3%","20.5%","31.3%","30.5%","46.2%","20.0%"
"d3824d52-41f0-49eb-8458-3361ecb387d1","Poll Single Select","What best describes the region you live in?","Rural","19.8%","28.0%","11.4%","21.1%","18.4%","21.8%","24.5%","14.0%","19.8%","19.6%","0.0%","0.0%","100.0%","27.3%","28.2%","12.5%","11.0%","23.1%","20.0%"

"Question ID","Question Type","Question","Responses","All(323)","O1: Republican (100)","O1: Democrat (114)","O1: Other/Independent (109)","O2: 18-24 (38)","O2: 25-34 (55)","O2: 35-44 (53)","O2: 45-54 (50)","O2: 55-64 (81)","O2: 65+ (46)","O3: Suburban (170)","O3: Urban (89)","O3: Rural (64)","young republicans (<35) (22)","older republicans (>35) (78)","young democrats (32)","older democrats (82)","young independents (39)","older independents (70)"
"4e5e8a22-3cdb-4cba-a1fd-300b90088dff","Poll Single Select","Do you believe that defending human rights globally should be a goal of American policy?","Yes","69.7%","57.0%","86.8%","63.3%","78.9%","60.0%","81.1%","76.0%","64.2%","63.0%","72.4%","75.3%","54.7%","63.6%","55.1%","75.0%","91.5%","64.1%","62.9%"
"4e5e8a22-3cdb-4cba-a1fd-300b90088dff","Poll Single Select","Do you believe that defending human rights globally should be a goal of American policy?","No","23.2%","34.0%","10.5%","26.6%","21.1%","32.7%","15.1%","14.0%","28.4%","23.9%","18.2%","22.5%","37.5%","31.8%","34.6%","18.8%","7.3%","33.3%","22.9%"
"4e5e8a22-3cdb-4cba-a1fd-300b90088dff","Poll Single Select","Do you believe that defending human rights globally should be a goal of American policy?","Don't know","7.1%","9.0%","2.6%","10.1%","0.0%","7.3%","3.8%","10.0%","7.4%","13.0%","9.4%","2.2%","7.8%","4.5%","10.3%","6.3%","1.2%","2.6%","14.3%"

"Question ID","Question Type","Question","Star","Responses","Sentiment","All(310)","O1: Republican (96)","O1: Democrat (109)","O1: Other/Independent (105)","O2: 18-24 (38)","O2: 25-34 (54)","O2: 35-44 (50)","O2: 45-54 (49)","O2: 55-64 (78)","O2: 65+ (41)","O3: Suburban (163)","O3: Urban (87)","O3: Rural (60)","young republicans (<35) (22)","older republicans (>35) (74)","young democrats (32)","older democrats (77)","young independents (38)","older independents (67)","Submitted By","Sample ID","Participant ID"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","Helping people in need is what we stand for as Americans ","Positive","73%","63%","89%","66%","87%","65%","74%","80%","68%","71%","74%","78%","62%","73%","59%","84%","91%","66%","66%","O1: Other/Independent, O2: 35-44, O3: Urban, older independents","","0b614145-0d3a-49f1-9071-0a1e813d1e54"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","Human rights are extremely important and when one country degrades them, others tend to follow, leading to a decomposition of the world order. Thus defending them wherever strategically possible without the risks outweighing the benefits seems most sensible.
","Neutral","73%","64%","86%","67%","87%","69%","76%","78%","64%","71%","74%","76%","63%","77%","59%","88%","86%","66%","67%","O1: Democrat, O2: 45-54, O3: Suburban, older democrats","","06ae3144-3871-4d85-872e-0375b1aeefd4"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I believe we should help the disadvantaged.","Neutral","72%","64%","86%","66%","87%","65%","84%","82%","59%","68%","74%","77%","62%","77%","59%","84%","87%","63%","67%","O1: Democrat, O2: 65+, O3: Suburban, older democrats","","d63dfb17-806b-4c77-bfb5-bc8b09b74710"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I think the US as a highly developed and top nation should focus on the areas of the worst human rights violations and support efforts to reduce and remove those violations.  We need proof, a clear plan, and strong execution as key pieces before we interfere. ","Neutral","72%","63%","86%","67%","82%","69%","78%","78%","65%","68%","74%","78%","60%","73%","59%","84%","87%","66%","67%","O1: Republican, O2: 45-54, O3: Suburban, older republicans (>35)","","42cdeb48-4495-45b1-bfa5-c5fe4d6051e6"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","If we see suffering among vulnerable people in the world, we have a moral obligation to help. I'm thinking of Syrian refugees, Ukrainians, civilians under attack in Gaza, women being oppressed in Iran, people living under dictatorships in Cuba, Venezuela and Russia. Our help doesn't always mean weapons or military force, though.","Neutral","72%","63%","86%","67%","87%","67%","76%","78%","65%","68%","73%","77%","63%","73%","59%","88%","86%","66%","67%","O1: Democrat, O2: 55-64, O3: Suburban, older democrats","","7d0554ec-ae3a-4ede-bf7a-8035015a1de2"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","The concept of fundamental human rights is enshrined in the Declaration of Independence and other founding documents. Promoting these values abroad reflects the core principles of the United States","Neutral","72%","64%","86%","66%","82%","69%","78%","80%","64%","68%","75%","75%","60%","77%","59%","88%","86%","61%","69%","O1: Other/Independent, O2: 25-34, O3: Suburban, young independents","","010b653c-9471-4f6e-bc50-c8b8d3dca8c3"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","This isn't a zero-sum game. Helping the world helps us. It is both the most morale and most beneficial choice.","Neutral","72%","61%","87%","67%","87%","69%","74%","76%","67%","68%","73%","77%","63%","73%","58%","88%","87%","68%","66%","O1: Democrat, O2: 18-24, O3: Suburban, young democrats","","ac800458-2d76-4f54-a281-3a271bd8112c"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I think we are the most prosperous country on Earth in terms of economics, so I think we should help out countries that are in need of assistance if we agree with their ideals. We can get an ally and I think it is morally correct.","Neutral","72%","63%","86%","67%","84%","67%","78%","80%","64%","68%","75%","76%","60%","73%","59%","88%","86%","63%","69%","O1: Other/Independent, O2: 18-24, O3: Urban, young independents","","d0b13b62-19d2-4448-bbea-537f02020b5a"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I do believe in global citizenship, and therefore, the entire planet should be concerned with human rights and try to defend them.
","Neutral","72%","63%","85%","68%","84%","67%","78%","80%","64%","68%","74%","77%","60%","73%","59%","84%","86%","66%","69%","O1: Other/Independent, O2: 45-54, O3: Rural, older independents","","9d3541bb-860e-4e17-b5ca-742a4d004cb4"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","We are a world leader, so we need to lead. If we have all of this wealth and power and influence, what else should we do with it besides trying to make the world a more just place?","Neutral","72%","60%","88%","66%","82%","69%","74%","78%","67%","68%","72%","82%","58%","68%","58%","91%","87%","63%","67%","O1: Other/Independent, O2: 45-54, O3: Suburban, older independents","","fc792356-1662-4b68-9730-65901e6b15ef"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","As much as  it pains me for us to get involved (as it costs money and can cost lives and gain us enemies) I think we need to stand up for and support what is right. We need to be on ""the right side of history"" and not just sit back and let bad things happen.","Negative","72%","61%","85%","68%","82%","65%","78%","78%","65%","71%","72%","79%","60%","68%","59%","84%","86%","63%","70%","O1: Other/Independent, O2: 45-54, O3: Suburban, older independents","","d22df3e7-70ec-47c8-99c6-2c66764cf5ee"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I believe this because we should all want to help people with their rights as long as it's actual basic right not just things the government is trying to push on people","Negative","72%","60%","86%","68%","82%","69%","76%","80%","64%","68%","74%","76%","60%","68%","58%","88%","86%","66%","69%","O1: Other/Independent, O2: 35-44, O3: Rural, older independents","","efa0e9d7-af24-4373-93b4-f11d537c70b8"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","I think we need to ensure our own people are safe and definitely take a stand on global human rights.  I just don't know that we need to be involved in everything.","Neutral","72%","66%","83%","66%","82%","65%","80%","80%","65%","66%","75%","74%","60%","77%","62%","81%","84%","61%","69%","O1: Republican, O2: 45-54, O3: Suburban, older republicans (>35)","","8eb38038-6d0f-4060-866d-bd73f7a37ebe"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","We're all impacted by global events and we're all humans deserving of fair treatment, safety and well being.","Neutral","72%","61%","87%","66%","84%","65%","74%","80%","68%","66%","72%","79%","60%","73%","58%","81%","90%","66%","66%","O1: Democrat, O2: 55-64, O3: Suburban, older democrats","","bf41f71d-c3c7-4e2a-b28f-f6c42378d286"
"d43007ad-700d-4ed2-b51e-035e730eadad","Ask Opinion","Please explain why you chose this answer (please be as specific as you can).","","If a situation is out of control and a country or it’s people are in a crisis and need help america should step in and provide some humanitarian relief.","Neutral","72%","68%","83%","65%","84%","65%","82%","78%","63%","68%","74%","75%","63%","82%","64%","81%","83%","61%","67%","O1: Democrat, O2: 18-24, O3: Urban, young democrats","","d6affa77-cf95-443a-8463-b06b212b464f"
