"Name","US foreign relations"
"Title","US involvement in other countries' armed conflicts"
"Date","June 25, 2024 at 03:56 PM (GMT)"
"Duration","02:10:51"
"Participants","323"
"Participant Limit","350"
"Total Screener Polls","3"
"Total Conversation Questions","6"

""
""
"","","Participant Id","Sample Provider Id","What political party do you most identify with?","What is your age?","What best describes the region you live in?","Do you believe that defending human rights globally should be a goal of American policy?","Please explain why you chose this answer (please be as specific as you can).","Sentiment","All (%agree)","What are the reasons that you think some people would/might disagree with you?","Sentiment","All (%agree)","When is a time that you supported the U.S. getting involved in another country?","Sentiment","Categories","When is a time that you did NOT support the U.S. getting involved in another country?","Sentiment","Categories","What actions, if any, should the U.S. take in the Democratic Republic of the Congo? Please explain your reason(s) for your answer.","Sentiment","All (%agree)","Muted"
"","","e720c4e6-672b-4014-bc72-14988f1b7932","","Republican","45-54","Suburban","Yes","I think that we need to be global citizens as well.  We need to help to ensure that all people are being treated humanly and not just our own citizens. ","Neutral","71%","I think some might say that we don't do enough to take care of our own citizens.  We need to use our resources and time on our own citizens first.","Neutral","73%","I support the US helping the Ukraine and aiding those citizens.","Positive","Uncategorized","I can't think of a time that I did not support.","Neutral","Uncategorized","I think that they should be willing to aid with weapons and humanitarian efforts.","Neutral","56%","False"
"","","e6035438-ff2f-4926-8fd0-d2e629c38734","","Democrat","35-44","Suburban","Yes","we should do what we can to help people","Neutral","68%","they think we shouldn't waste our resources solving other people's problem

","Negative","66%","Aiding Ukraine against Russia","Neutral","Uncategorized","Invasion of Iraq.","Neutral","Uncategorized","I don't really know enough about this conflict to say for sure. I would need more background to give an opinion.","Neutral","54%","False"
"","","6de051e8-1f2e-410b-a46f-01936ea2b7b5","","Democrat","35-44","Suburban","Yes","I think we should always be providing humanitarian support at the very least. Beyond that it starts to get complicated and it's more of a case by case basis. We do have to try to help people when we can though.","Neutral","61%","Some people might disagree with helping others because they lack empathy for others. Sadly we see this often in politics within our own country.","Negative","54%","Helping Ukraine","Positive","Uncategorized","I wasn't very politically aware until recently but the whole middle east situation seems to have been (and continues to be) a mess.","Negative","Uncategorized","I would have to do more research on the issue but it seems from the statement above that we aren't doing enough to protect basic human rights, especially for children.","Negative","56%","False"
"","","af95d5fd-6018-4c6c-82e7-a834f664960e","","Other/Independent","35-44","Suburban","Yes","Because everyone is entitled to certain basic rights ","Neutral","71%","Because most people are good and don’t want to see others suffer","Neutral","42%","When we helped other countries who have been wrecked by natural disasters","Neutral","Uncategorized","War with Palestine and Isreal","Neutral","Uncategorized","Support them by providing protection and money ","Positive","55%","False"
"","","66699ff3-bd26-4559-b854-0942d0b6688e","","Republican","18-24","Urban","Yes","I think protecting human rights is important no matter where in the world it is. I think America should do what is needed to protect people to an extent. ","Neutral","71%","Some people may say that we need to stay out of other countries business. We have a lot of problems in America that have not been solved. ","Negative","77%","When the result would affect America or cause harm to our allies. I also am in support of the U.S. getting involved when it affects the basic rights of humans.

","Neutral","Uncategorized","When it would put the American people at risk","Negative","Uncategorized","Yes, because they are our ally and they are in need.","Neutral","53%","False"
"","","cb25a8ed-b86c-43bd-bac0-0a7707cc8660","","Other/Independent","35-44","Urban","Yes","The belief in human dignity and the inherent worth of individuals transcends national boundaries. Upholding human rights aligns with universal ethical principles that many consider fundamental to a just and humane society.

","Neutral","70%","Opponents might argue that the U.S. should prioritize domestic issues, such as economic development, healthcare, and education, over interventions abroad that may not directly benefit American citizens.

","Negative","73%","In recent times, one example where I supported U.S. involvement was the military intervention against ISIS (Islamic State of Iraq and Syria) in Iraq and Syria. ISIS posed a significant threat not only to the stability of the region but also to global security due to its extremist ideology, brutal tactics, and territorial ambitions. The U.S.-led coalition, which included other international partners, conducted airstrikes and provided support to local forces fighting ISIS on the ground.","Neutral","Uncategorized","One recent instance where I did not support U.S. involvement was the decision to withdraw from the Iran nuclear deal, formally known as the Joint Comprehensive Plan of Action (JCPOA), in 2018. The JCPOA was an agreement between Iran and six world powers (including the United States, China, Russia, France, Germany, and the UK) aimed at limiting Iran's nuclear program in exchange for sanctions relief.","Neutral","Uncategorized","The U.S. should continue to engage diplomatically with all relevant parties, including the DRC government, neighboring countries like Rwanda, and regional organizations such as the African Union. Diplomatic efforts can support peace negotiations, mediation efforts, and regional cooperation to address the root causes of the conflict.","Neutral","54%","False"
"","","0f08500c-385e-4639-8647-dafd362815d7","","Democrat","45-54","Suburban","No","I think that the USA is a hypocrite if they decide to do Human Rights violations around the world, without addressing their own (our own) violations","Negative","59%","I think that people would agree that the US has human rights violations, but they would disagree at the severity of it.","Negative","67%","When there is natural disasters, when there is a general interest that the USA has in the region.","Neutral","Uncategorized","When its a country going through upheaval through a democratic process. Like voting and the candidate didn't win, we should support the democratic process","Neutral","Uncategorized","I don't know enough about the conflict to give you an educated answer. Based on the text above it sounds like US has sanctioned the Rwandan government, Not sure what else can be done","Neutral","53%","False"
"","","7e64bba4-d232-436b-981a-2c7779ab16b1","","Democrat","25-34","Urban","Yes","Because how can we state we support it in our country but not outside of it? I think it's necessary as a part of NATO and as a global power to step up when we can.","Neutral","62%","Because we have issues at home that and that we should help ourselves first before we can help others. Or that we overstep the military commits acts unforgivable or contrary to what we should be striving for.","Neutral","74%","The war in Ukraine","Neutral","Uncategorized","9/11, Vietnam war, ","Neutral","Uncategorized","I'm unfamiliar with the conflict. From the statement above, I think Congolese people are right to be frustrated, and that the US should reign in its Rwandan ally.","Negative","55%","False"
"","","db5f7e77-cffc-448a-a94a-cf6bbaccf921","","Other/Independent","35-44","Urban","Yes","I think America is in a position to set a global standard for progress in all areas and defending human rights is a step in the  right direction for human progress overall.","Neutral","70%","They have interests that are in conflict with assuring global human rights","Neutral","36%","I support the US getting involved in helping countries protect their autonomy - Taiwan/Ukraine as modern examples and most of Europe during WWI/WWII","Positive","Uncategorized","Any other time than I previously mentioned","Neutral","Uncategorized","If the DRC is genuinely attempting to protect their sovereignty then the US should supply them with the means to do so, within reason.","Neutral","54%","False"
"","","fee145ef-cde6-43d0-af8c-d12d2210ff86","","Democrat","35-44","Suburban","Yes","we should be a worldwide leader in human rights. ""defending"" is a tricky term but i think defense means diplomacy and not bombing another country to smithereens.","Neutral","69%","we have a long history of getting involved in another countries affairs and the whole thing ending up worse than before we got involved.","Negative","61%","any time we send humanitarian relief after major earthquakes and tsunamis is something i've supported","Neutral","Uncategorized","sending arms to israel, arms to ukraine, arms to afghanistan, arms to  iraq, i could go on forever","Positive","Uncategorized","i wouldn't do anything without UN involvement. let the UN decide was the US should do. unless it's more guns and ammo, don't send that","Neutral","49%","False"
"","","b198dff6-440f-4525-a380-6fe1b04effcc","","Republican","45-54","Suburban","Don't know","In the grand scheme of things, I do feel that human rights should be on our agenda. However, before helping everybody else, we should first take care of that in our own country.","Neutral","69%","I don't know if it would be as much ""disagreeing"" than thinking past the fact that WE need to take care of our own before everyone else.","Neutral","75%","When unnecessary attacks effect children and women, and their own couldn't fight alone.","Negative","Uncategorized","Whenever its about money or polotics.","Neutral","Uncategorized","They should go and make sure an end is put to this conflict.","Neutral","53%","False"
"","","37b95e58-e6b4-4bb1-99b1-6ad4867059b7","","Democrat","35-44","Urban","Yes","I feel supporting human rights across the globe is something to has to be done as a leader in international politics. It improves living conditions for those effected, and helps insure that negligent and dangerous behavior doesn't spread to other countries and governments. It absolutely has to be a focus for our leaders because I believe our position in the world requires us to support certain ideals across the planet, and fight against opposing and dangerous ideals abroad.","Neutral","71%","People may feel that our involvement in international relations takes resources from those that they feel may need it the most, American citizens at home. Individuals may also feel that our actions abroad aren't exactly for pure humanitarian reasons and have hidden motives behind them. ","Neutral","72%","The most important time to get involved in another country is prior to war breaking out, attempting to improve relations between neighboring countries to prevent the loss of life and the harming of their economies. ","Neutral","Uncategorized","I don't support getting involved in countries where there is either no clear ""bad guy"" between the two, or when there is no game plan towards a resolution for a dispute.","Negative","Uncategorized","The US should expand sanctions on any governments committing human rights violations because it's the right thing to do to set an example. They should also focus on sending aid to the DRC, and to the effected regions of the area because aid will assist their citizens in saving lives.","Neutral","58%","False"
"","","2816e877-ea15-4aa5-9998-21d6926d0eea","","Other/Independent","35-44","Rural","No","While I believe that it's important for all countries to have human rights, I also feel that it is not the responsibility of the United States to be involved everywhere. We have to take care of our own first.","Neutral","55%","I think that some people would disagree with me because a lot of Americans feel that the United States should be the world's police. They may feel that things are going well for us, and that we should have a presence everywhere around the world. ","Neutral","66%","I personally cannot think of an instance where I did support this.","Neutral","Uncategorized","I don't support the U.S. getting involved in the war between Ukraine and Russia.","Negative","Uncategorized","Since Rwanda is an ally, I believe the U.S. should take a diplomatic approach and try to negotiate with Rwanda to stop the conflict.","Neutral","54%","False"
"","","faefb80c-2bf0-46a3-b601-fa163d323618","","Other/Independent","65+","Rural","Yes","I think involving America with the conflicts in other countries helps ensure the safety of America in the long run. We should make sure that, globally, everyone has basic human rights that will help make the world a more peaceful place","Neutral","71%","I think some people might think that we should help Americans first and ensure all Americans should have basic human rights before we help others.","Neutral","77%","I fully support the U.S. getting involved in the Ukraine conflict with Russia.","Positive","Uncategorized","I did not support the U.S. getting involved in the Vietnam conflict.","Negative","Uncategorized","I think the U.S. should introduce sanctions against the Congo, at the very least, initially. ","Negative","55%","False"
"","","35a4448d-fa9a-400b-8d08-d9f49aa1f39d","","Democrat","25-34","Urban","Yes","The United States has reached a level of independence and freedom that they have the responsibility to help other countries when they can.","Positive","58%","People believe that the United States should focus on domestic issues.","Neutral","78%","I originally supported the United States helping Ukraine and the conflict in Gaza","Neutral","Uncategorized","Involvement in Ukraine feels excessive","Negative","Uncategorized","The US should get involved and help save the lives of citizens.","Neutral","53%","False"
