"Name","Right to assemble"
"Title","Right to assemble"
"Date","June 25, 2024 at 03:38 PM (GMT)"
"Duration","02:32:07"
"Participants","318"
"Participant Limit","350"
"Total Screener Polls","5"
"Total Conversation Questions","6"


"Question ID","Question Type","Question","Responses","All(318)","O2: Very liberal (56)","O2: Slightly liberal (79)","O2: Moderate (75)","O2: Slightly conservative (68)","O2: Very conservative (40)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (58)","O3: 30-39 (63)","O3: 40-49 (40)","O3: 50-59 (71)","O3: Above 60 (76)","O4: Current student (76)","Left leaning (135)","Right leaning (108)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (18)","O4: Community member (215)","O5: Female (164)","O5: Male (153)","O5: Non-binary (1)","O5: Prefer not to disclose (0)"
"66c41e04-e479-4a43-94d1-f42d3f12da12","Poll Single Select","What is your political viewpoints?","Very liberal","17.6%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","19.0%","15.9%","25.0%","14.1%","17.1%","17.1%","41.5%","0.0%","28.6%","11.4%","22.2%","27.8%","16.7%","17.7%","17.6%","0.0%","0.0%"
"66c41e04-e479-4a43-94d1-f42d3f12da12","Poll Single Select","What is your political viewpoints?","Slightly liberal","24.8%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","20.0%","25.9%","23.8%","37.5%","18.3%","25.0%","23.7%","58.5%","0.0%","24.8%","25.9%","11.1%","11.1%","27.0%","25.0%","24.2%","100.0%","0.0%"
"66c41e04-e479-4a43-94d1-f42d3f12da12","Poll Single Select","What is your political viewpoints?","Moderate","23.6%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","40.0%","32.8%","34.9%","10.0%","25.4%","10.5%","31.6%","0.0%","0.0%","20.0%","25.9%","33.3%","16.7%","20.9%","23.2%","24.2%","0.0%","0.0%"
"66c41e04-e479-4a43-94d1-f42d3f12da12","Poll Single Select","What is your political viewpoints?","Slightly conservative","21.4%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","20.0%","13.8%","17.5%","15.0%","31.0%","25.0%","17.1%","0.0%","63.0%","17.1%","23.9%","22.2%","27.8%","22.3%","21.3%","21.6%","0.0%","0.0%"
"66c41e04-e479-4a43-94d1-f42d3f12da12","Poll Single Select","What is your political viewpoints?","Very conservative","12.6%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","8.6%","7.9%","12.5%","11.3%","22.4%","10.5%","0.0%","37.0%","9.5%","12.9%","11.1%","16.7%","13.0%","12.8%","12.4%","0.0%","0.0%"

"Question ID","Question Type","Question","Responses","All(318)","O2: Very liberal (56)","O2: Slightly liberal (79)","O2: Moderate (75)","O2: Slightly conservative (68)","O2: Very conservative (40)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (58)","O3: 30-39 (63)","O3: 40-49 (40)","O3: 50-59 (71)","O3: Above 60 (76)","O4: Current student (76)","Left leaning (135)","Right leaning (108)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (18)","O4: Community member (215)","O5: Female (164)","O5: Male (153)","O5: Non-binary (1)","O5: Prefer not to disclose (0)"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","Under 17","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","18-20","3.1%","3.6%","2.5%","5.3%","2.9%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.5%","3.0%","1.9%","1.9%","4.0%","0.0%","0.0%","0.9%","3.7%","2.6%","0.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","21-29","18.2%","19.6%","19.0%","25.3%","11.8%","12.5%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","38.2%","19.3%","12.0%","18.1%","18.4%","22.2%","11.1%","11.6%","18.3%","18.3%","0.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","30-39","19.8%","17.9%","19.0%","29.3%","16.2%","12.5%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","18.4%","18.5%","14.8%","21.0%","20.4%","33.3%","27.8%","19.1%","18.3%","20.9%","100.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","40-49","12.6%","17.9%","19.0%","5.3%","8.8%","12.5%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","10.5%","18.5%","10.2%","14.3%","11.9%","0.0%","11.1%","14.0%","12.2%","13.1%","0.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","50-59","22.3%","17.9%","16.5%","24.0%","32.4%","20.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","14.5%","17.0%","27.8%","19.0%","23.4%","22.2%","33.3%","24.2%","25.0%","19.6%","0.0%","0.0%"
"8827c943-aaed-4089-9711-c5579b2c1ccc","Poll Single Select","Which category includes your age?","Above 60","23.9%","23.2%","24.1%","10.7%","27.9%","42.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","7.9%","23.7%","33.3%","25.7%","21.9%","22.2%","16.7%","30.2%","22.6%","25.5%","0.0%","0.0%"

"Question ID","Question Type","Question","Responses","All(318)","O2: Very liberal (56)","O2: Slightly liberal (79)","O2: Moderate (75)","O2: Slightly conservative (68)","O2: Very conservative (40)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (58)","O3: 30-39 (63)","O3: 40-49 (40)","O3: 50-59 (71)","O3: Above 60 (76)","O4: Current student (76)","Left leaning (135)","Right leaning (108)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (18)","O4: Community member (215)","O5: Female (164)","O5: Male (153)","O5: Non-binary (1)","O5: Prefer not to disclose (0)"
"db908d97-829a-446f-b26c-7779f4cd6c47","Poll Single Select","What is your engagement or relationship (current or past) to a college or university?","Current student","23.9%","23.2%","22.8%","32.0%","19.1%","20.0%","0.0%","80.0%","50.0%","22.2%","20.0%","15.5%","7.9%","100.0%","23.0%","19.4%","27.6%","22.9%","0.0%","0.0%","0.0%","23.2%","24.8%","0.0%","0.0%"
"db908d97-829a-446f-b26c-7779f4cd6c47","Poll Single Select","What is your engagement or relationship (current or past) to a college or university?","Faculty","2.8%","3.6%","1.3%","4.0%","2.9%","2.5%","0.0%","0.0%","3.4%","4.8%","0.0%","2.8%","2.6%","0.0%","2.2%","2.8%","5.7%","1.5%","100.0%","0.0%","0.0%","1.2%","4.6%","0.0%","0.0%"
"db908d97-829a-446f-b26c-7779f4cd6c47","Poll Single Select","What is your engagement or relationship (current or past) to a college or university?","Staff","5.7%","8.9%","2.5%","4.0%","7.4%","7.5%","0.0%","0.0%","3.4%","7.9%","5.0%","8.5%","3.9%","0.0%","5.2%","7.4%","7.6%","4.5%","0.0%","100.0%","0.0%","9.1%","2.0%","0.0%","0.0%"
"db908d97-829a-446f-b26c-7779f4cd6c47","Poll Single Select","What is your engagement or relationship (current or past) to a college or university?","Community member","67.6%","64.3%","73.4%","60.0%","70.6%","70.0%","0.0%","20.0%","43.1%","65.1%","75.0%","73.2%","85.5%","0.0%","69.6%","70.4%","59.0%","71.1%","0.0%","0.0%","100.0%","66.5%","68.6%","100.0%","0.0%"

"Question ID","Question Type","Question","Responses","All(318)","O2: Very liberal (56)","O2: Slightly liberal (79)","O2: Moderate (75)","O2: Slightly conservative (68)","O2: Very conservative (40)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (58)","O3: 30-39 (63)","O3: 40-49 (40)","O3: 50-59 (71)","O3: Above 60 (76)","O4: Current student (76)","Left leaning (135)","Right leaning (108)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (18)","O4: Community member (215)","O5: Female (164)","O5: Male (153)","O5: Non-binary (1)","O5: Prefer not to disclose (0)"
"b5b1afe5-7b49-4e39-8f52-cbf00d7b9033","Poll Single Select","What is your gender identity?","Female","51.6%","51.8%","51.9%","50.7%","51.5%","52.5%","0.0%","60.0%","51.7%","47.6%","50.0%","57.7%","48.7%","50.0%","51.9%","51.9%","44.8%","55.7%","22.2%","83.3%","50.7%","100.0%","0.0%","0.0%","0.0%"
"b5b1afe5-7b49-4e39-8f52-cbf00d7b9033","Poll Single Select","What is your gender identity?","Male","48.1%","48.2%","46.8%","49.3%","48.5%","47.5%","0.0%","40.0%","48.3%","50.8%","50.0%","42.3%","51.3%","50.0%","47.4%","48.1%","54.3%","44.3%","77.8%","16.7%","48.8%","0.0%","100.0%","0.0%","0.0%"
"b5b1afe5-7b49-4e39-8f52-cbf00d7b9033","Poll Single Select","What is your gender identity?","Non-binary","0.3%","0.0%","1.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.6%","0.0%","0.0%","0.0%","0.0%","0.7%","0.0%","1.0%","0.0%","0.0%","0.0%","0.5%","0.0%","0.0%","100.0%","0.0%"
"b5b1afe5-7b49-4e39-8f52-cbf00d7b9033","Poll Single Select","What is your gender identity?","Prefer not to disclose","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"

"Question ID","Question Type","Question","Responses","All(318)","O2: Very liberal (56)","O2: Slightly liberal (79)","O2: Moderate (75)","O2: Slightly conservative (68)","O2: Very conservative (40)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (58)","O3: 30-39 (63)","O3: 40-49 (40)","O3: 50-59 (71)","O3: Above 60 (76)","O4: Current student (76)","Left leaning (135)","Right leaning (108)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (18)","O4: Community member (215)","O5: Female (164)","O5: Male (153)","O5: Non-binary (1)","O5: Prefer not to disclose (0)"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","White","72.6%","67.9%","72.2%","73.3%","77.9%","70.0%","0.0%","60.0%","63.8%","71.4%","65.0%","71.8%","86.8%","61.8%","70.4%","75.0%","62.9%","77.6%","44.4%","72.2%","77.7%","73.8%","71.2%","100.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","Black or African American","22.3%","25.0%","22.8%","24.0%","16.2%","25.0%","0.0%","30.0%","29.3%","23.8%","25.0%","23.9%","11.8%","31.6%","23.7%","19.4%","33.3%","16.4%","55.6%","27.8%","17.2%","23.2%","21.6%","0.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","American Indian or Alaskan native","0.9%","0.0%","1.3%","2.7%","0.0%","0.0%","0.0%","0.0%","0.0%","3.2%","0.0%","0.0%","1.3%","0.0%","0.7%","0.0%","0.0%","1.5%","0.0%","0.0%","1.4%","0.0%","2.0%","0.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","Asian","4.4%","3.6%","5.1%","4.0%","5.9%","2.5%","0.0%","20.0%","8.6%","1.6%","5.0%","4.2%","1.3%","7.9%","4.4%","4.6%","3.8%","5.0%","0.0%","5.6%","3.3%","3.7%","5.2%","0.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","Native Hawaiian or Pacific Islander","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","Latinx","5.0%","7.1%","3.8%","6.7%","5.9%","0.0%","0.0%","10.0%","6.9%","4.8%","7.5%","5.6%","1.3%","9.2%","5.2%","3.7%","5.7%","5.0%","0.0%","5.6%","3.7%","4.9%","5.2%","0.0%","0.0%"
"5627aba0-8501-4cdc-9501-f347749cf04c","Poll Multi Select","How would you describe your ethnicity?","From multiple races","2.2%","3.6%","2.5%","1.3%","1.5%","2.5%","0.0%","10.0%","3.4%","3.2%","5.0%","0.0%","0.0%","3.9%","3.0%","1.9%","1.0%","3.0%","0.0%","0.0%","1.9%","2.4%","2.0%","0.0%","0.0%"

"Question ID","Question Type","Question","Star","Responses","Sentiment","All(307)","O2: Very liberal (53)","O2: Slightly liberal (78)","O2: Moderate (74)","O2: Slightly conservative (66)","O2: Very conservative (36)","O3: Under 17 (0)","O3: 18-20 (10)","O3: 21-29 (57)","O3: 30-39 (63)","O3: 40-49 (39)","O3: 50-59 (67)","O3: Above 60 (71)","O4: Current student (75)","Left leaning (131)","Right leaning (102)","Protest Attendance (105)","Non -Protest Attendants (201)","O4: Faculty (9)","O4: Staff (17)","O4: Community member (206)","O5: Female (159)","O5: Male (147)","O5: Non-binary (1)","O5: Prefer not to disclose (0)","Submitted By","Sample ID","Participant ID"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Carrying signs, marching, protesting, being respectful.","Neutral","60%","62%","55%","64%","62%","56%"," - ","40%","68%","60%","44%","64%","61%","60%","58%","60%","53%","63%","33%","53%","62%","65%","55%","0%"," - ","Left leaning, Non -Protest Attendants, O2: Very liberal, O3: 50-59, O4: Community member, O5: Female","","18ad4368-931d-4fcd-8d08-70cb4b2fac5c"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Peaceful, respectful of opponents, no damage to property, follows all protocols in place","Positive","59%","57%","55%","64%","59%","61%"," - ","40%","65%","60%","49%","60%","61%","56%","56%","60%","50%","64%","33%","35%","63%","63%","55%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 40-49, O4: Current student, O5: Female, Protest Attendance","","c5f5758a-4579-4d10-9c59-de7652e57a8d"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Protesting, shouting, marching, props, signs, ","Neutral","59%","62%","55%","58%","64%","53%"," - ","30%","63%","60%","46%","63%","61%","60%","58%","60%","51%","62%","33%","53%","60%","62%","56%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 21-29, O4: Community member, O5: Female, Protest Attendance","","4083f5c0-accc-4817-9071-494828cf5f1b"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Peaceful and organized, in my opinion. No violence, no aggression but lawful and strong.","Positive","58%","64%","54%","61%","56%","58%"," - ","50%","61%","56%","49%","58%","65%","59%","58%","57%","50%","63%","33%","41%","61%","60%","57%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: 40-49, O4: Community member, O5: Male, Right leaning","","3c5910dd-a25b-4fd8-b30d-df02c0967b99"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","No violence mainly
","Neutral","58%","62%","53%","58%","56%","67%"," - ","50%","58%","63%","51%","52%","63%","60%","56%","60%","52%","61%","56%","35%","59%","58%","59%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 30-39, O4: Current student, O5: Male, Protest Attendance","","9721d1d8-9218-42bd-97eb-3a21cafa81ea"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","When the protest is peaceful and no violence or vandalism takes place.","Neutral","58%","60%","54%","61%","59%","56%"," - ","50%","63%","56%","46%","60%","62%","59%","56%","58%","51%","61%","33%","41%","60%","62%","54%","0%"," - ","Left leaning, Non -Protest Attendants, O2: Slightly liberal, O3: 40-49, O4: Community member, O5: Female","","37088d05-c5e8-4695-bb32-b4e13bbf254d"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Remaining cordial and respectful. Being orderly yet confident in your protest.","Positive","58%","53%","56%","62%","62%","53%"," - ","40%","61%","59%","44%","63%","61%","56%","55%","59%","50%","62%","56%","41%","60%","64%","52%","0%"," - ","Non -Protest Attendants, O2: Moderate, O3: 21-29, O4: Current student, O5: Male","","dcb01bce-f7ec-4533-b98a-cb1f115a095e"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Peaceful conduct. I feel  an important feature is a non-violent kind of protest where people respect other people's property","Neutral","58%","57%","55%","57%","65%","56%"," - ","50%","61%","54%","51%","58%","63%","55%","56%","62%","50%","62%","33%","35%","62%","59%","57%","0%"," - ","O2: Slightly conservative, O3: 50-59, O4: Community member, O5: Male, Protest Attendance, Right leaning","","17dba775-1215-4d3d-9509-bfaa36c47359"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Nonviolence, peaceful, determined, justified","Positive","58%","62%","53%","59%","59%","58%"," - ","50%","61%","59%","51%","55%","62%","61%","56%","59%","50%","62%","33%","35%","60%","59%","57%","0%"," - ","Left leaning, Non -Protest Attendants, O2: Slightly liberal, O3: 21-29, O4: Community member, O5: Male","","6097c1a9-11e0-439c-8eed-c9fb133c4114"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Peaceful protest. No violence. No lighting yourself on fire. No property destruction.","Neutral","58%","57%","54%","64%","59%","56%"," - ","50%","63%","54%","46%","63%","61%","56%","55%","58%","50%","62%","33%","41%","61%","64%","52%","0%"," - ","O2: Slightly conservative, O3: 30-39, O4: Community member, O5: Female, Protest Attendance, Right leaning","","cdda04e6-8565-48b6-94a8-24731cb06478"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","A protest is appropriate when people are calm and kind of respectful. They are not inciting violence, trespassing or damaging property. ","Neutral","58%","60%","54%","58%","61%","56%"," - ","50%","65%","56%","46%","55%","63%","59%","56%","59%","50%","61%","33%","35%","60%","59%","56%","0%"," - ","Non -Protest Attendants, O2: Moderate, O3: 30-39, O4: Community member, O5: Female","","0b6c1aa3-8af2-4441-8d9b-061aa44eaa0e"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Organization, purpose, pacifist, grounded, unity","Neutral","58%","60%","55%","61%","59%","50%"," - ","40%","65%","52%","46%","63%","61%","55%","57%","56%","50%","62%","33%","35%","62%","61%","54%","0%"," - ","Non -Protest Attendants, O2: Moderate, O3: 18-20, O4: Current student, O5: Female","","d2933576-936a-4905-bbda-43e8cfc4c6c8"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","an appropriate protest should be free of violence and peaceful","Neutral","58%","58%","54%","59%","61%","56%"," - ","50%","65%","54%","46%","57%","63%","56%","56%","59%","50%","61%","44%","35%","61%","59%","56%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: Above 60, O4: Current student, O5: Male, Right leaning","","2969cb48-5e3d-4239-87b8-7f7fc9442d8e"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","A protest is appropriate if it does in a peaceful, civil manner","Neutral","58%","64%","54%","55%","61%","56%"," - ","40%","63%","56%","46%","58%","63%","57%","58%","59%","49%","62%","33%","29%","61%","60%","56%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 40-49, O4: Community member, O5: Female, Protest Attendance","","5e675ad8-212f-4308-b15b-e82e63b21399"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","The protest isn't violent and doesn't interfere with other people's daily jobs and activities.","Positive","58%","62%","54%","54%","65%","53%"," - ","40%","65%","59%","46%","54%","63%","60%","57%","61%","50%","61%","44%","35%","59%","60%","56%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: Above 60, O4: Community member, O5: Male, Right leaning","","3793b1a4-f293-4761-8c06-812760f50312"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Non-violent approach, orderly conduct, not infringing on anyone else's freedom of movement","Neutral","58%","60%","54%","54%","65%","56%"," - ","50%","61%","56%","49%","57%","63%","59%","56%","62%","50%","61%","56%","29%","60%","58%","57%","0%"," - ","Left leaning, Non -Protest Attendants, O2: Slightly liberal, O3: Above 60, O4: Community member, O5: Female","","86497885-8111-49b0-97ae-45280cb0498b"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","march and demonstration","Neutral","58%","60%","51%","57%","64%","58%"," - ","30%","60%","56%","49%","60%","65%","57%","55%","62%","50%","62%","44%","41%","60%","60%","56%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: 30-39, O4: Community member, O5: Female, Right leaning","","52f47eab-4702-45a2-851f-c392b6423570"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","A appropriate protest would be non-violent and not infringe on the rights of others.","Negative","57%","64%","54%","53%","62%","56%"," - ","40%","63%","56%","49%","54%","65%","56%","58%","60%","50%","61%","44%","35%","60%","60%","55%","0%"," - ","Non -Protest Attendants, O2: Moderate, O3: 30-39, O4: Current student, O5: Female","","7c8fb94c-3e4f-47fc-8ed2-e23feee26528"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Non violent, not harming any other individuals. Standing up for some form of injustice. ","Neutral","57%","55%","55%","57%","65%","53%"," - ","60%","60%","52%","49%","60%","62%","61%","55%","61%","50%","61%","56%","41%","57%","60%","54%","0%"," - ","Left leaning, Non -Protest Attendants, O2: Slightly liberal, O3: 21-29, O4: Community member, O5: Female","","4e92d381-1c91-4ffa-a57e-64d05ef056b9"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","No police brutality or people with weapons. Friendly protest is appropriate.","Neutral","57%","57%","56%","58%","59%","56%"," - ","50%","65%","56%","46%","54%","63%","59%","56%","58%","49%","62%","33%","35%","60%","58%","56%","0%"," - ","Non -Protest Attendants, O2: Moderate, O3: 18-20, O4: Community member, O5: Female","","c2f6e30f-1659-4540-bb9d-590a7c703cae"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Non violent protests are an appropriate protest. Speaking your mind without using violence to support your claim. ","Neutral","57%","66%","53%","54%","61%","56%"," - ","40%","61%","57%","51%","54%","63%","59%","58%","59%","49%","62%","33%","35%","60%","58%","56%","0%"," - ","Non -Protest Attendants, O2: Very conservative, O3: 30-39, O4: Community member, O5: Female, Right leaning","","5e044bcf-7ce4-4db0-966f-ebe433e4f3f4"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","I believe that a peaceful protest would not engage in physical violence that can damage anybody's business such as breaking into a store or a family restaurant. As such, such action of protesting without violence would make matters better.","Neutral","57%","55%","56%","57%","62%","56%"," - ","50%","63%","56%","41%","58%","63%","56%","56%","60%","50%","61%","33%","35%","61%","58%","57%","0%"," - ","O2: Slightly conservative, O3: 18-20, O4: Current student, O5: Male, Protest Attendance, Right leaning","","55eeba40-7463-473c-ae8c-5caf2ff68d25"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Peaceful, just cause, civil

","Positive","57%","57%","56%","55%","64%","53%"," - ","30%","61%","56%","56%","57%","61%","56%","56%","60%","51%","60%","33%","41%","60%","60%","54%","0%"," - ","O2: Moderate, O3: 21-29, O4: Current student, O5: Male, Protest Attendance","","ad93c1e1-2cb8-4fde-a65f-34b8034371fe"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","being non-violent.","Neutral","57%","60%","58%","55%","58%","53%"," - ","60%","58%","56%","49%","57%","62%","60%","59%","56%","52%","59%","44%","29%","59%","58%","56%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: 30-39, O4: Community member, O5: Male, Right leaning","","f1261513-1be2-479d-ab66-04ef82dad6be"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","For the people to be heard.

","Neutral","57%","58%","53%","64%","58%","50%"," - ","50%","61%","57%","56%","54%","58%","57%","55%","55%","55%","58%","44%","47%","58%","59%","55%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: 40-49, O4: Community member, O5: Male, Right leaning","","38a8f35d-7672-463b-b916-ed8f3e1958b3"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","People protest when they feel taken advantage of or to stand up for what they think is right.","Negative","57%","58%","45%","58%","65%","64%"," - ","30%","60%","59%","46%","58%","62%","57%","50%","65%","49%","61%","44%","47%","58%","60%","54%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 30-39, O4: Community member, O5: Male, Protest Attendance","","6146d2cc-0b0d-43c7-a60f-c8486e6481fe"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","Some feature that make a protest appropriate is conducting in a non-violent manner. People should not be breaking any trespassing or looting laws as well. ","Neutral","57%","60%","54%","51%","65%","56%"," - ","50%","65%","56%","44%","54%","63%","59%","56%","62%","50%","60%","44%","35%","59%","58%","56%","0%"," - ","Left leaning, O2: Slightly liberal, O3: 30-39, O4: Community member, O5: Female, Protest Attendance","","aee2a166-9cc3-4e34-8664-d72515fb0c93"
"db8266fb-c4e8-409d-9d38-87f009b756be","Ask Opinion","What are features or characteristics that make a protest  appropriate?","","A peaceful protest should not involve violence, theft, damage to property, or threats. Laws should not be broken while engaging in a protest. ","Negative","57%","51%","59%","58%","59%","56%"," - ","50%","61%","56%","46%","60%","59%","55%","56%","58%","48%","62%","33%","35%","61%","59%","55%","0%"," - ","Non -Protest Attendants, O2: Slightly conservative, O3: 50-59, O4: Community member, O5: Female, Right leaning","","bab231b7-6bb3-425c-b05f-63358b98b575"
