"Name","Right to assemble"
"Title","Right to assemble"
"Date","June 25, 2024 at 03:38 PM (GMT)"
"Duration","02:32:07"
"Participants","318"
"Participant Limit","350"
"Total Screener Polls","5"
"Total Conversation Questions","6"

""
""
"","","Participant Id","Sample Provider Id","What is your political viewpoints?","Which category includes your age?","What is your engagement or relationship (current or past) to a college or university?","What is your gender identity?","How would you describe your ethnicity? - White","How would you describe your ethnicity? - Black or African American","How would you describe your ethnicity? - American Indian or Alaskan native","How would you describe your ethnicity? - Asian","How would you describe your ethnicity? - Native Hawaiian or Pacific Islander","How would you describe your ethnicity? - Latinx","How would you describe your ethnicity? - From multiple races","What are features or characteristics that make a protest  appropriate?","Sentiment","All (%agree)","What characteristics or actions, in your view, deem a protest inappropriate?","Sentiment","All (%agree)","Have you attended or participated in a protest?","Branch A - How has your personal experience with protests influenced your viewpoint on the right to assemble?","Sentiment","Branch A - Yes (%agree)","Branch B - What are some of the reasons you have not participated in or attended a protest?","Sentiment","Branch B - No (%agree)","What measures (if any) could be taken to ensure appropriate protests are protected?","Sentiment","All (%agree)","What measures (if any) could be taken to restrict or limit inappropriate protests?","Sentiment","All (%agree)","Muted"
"","","894ddd1a-3b1f-4f16-9ac4-a415797f67d9","","Slightly conservative","Above 60","Community member","Male","White","--","--","--","--","--","--","It is peaceable","Neutral","49%","it is violent, and/or incites violence","Negative","82%","No","--","--","--","I have no particular cause worthy enough for my participation","Neutral","39%","body search and metal detectors for a specific designated  assembly location","Neutral","73%","body search and metal detectors for a specific designated assembly location and strong police presence, with use of deadly force authorized.","Neutral","67%","False"
"","","ef3e3298-c609-439c-b4cf-e2251f920141","","Moderate","50-59","Current student","Male","White","--","--","--","--","--","--","Peaceful in nature.  A gathering which does not infringe upon the Civil liberties of other citizens. ","Neutral","54%","Violence, infringing upon the civil rights of others, engaging in activity that has the potential to harm others (ie. blocking roadways which could prevent emergency service vehicles from passing through).","Negative","83%","Yes","The protest I was involved with was a small gathering on a town green.  It was non violent and did not infringe on the civil liberties of others. ","Neutral","59%","--","--","--","Announced in advance to allow law enforcement to be present if they choose. Ensure that all participants are willing to abide by non-violent activities.","Neutral","72%","Police presence and intervention, as necessary. ","Neutral","71%","False"
"","","b986228d-f1b5-4727-bdd0-8440096925e4","","Slightly liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","Non violent and peaceful.","Positive","57%","Creating violence or public disorder. Threatening others.","Neutral","83%","Yes","I favor protests and realize that some protests might support views that I don't agree with.","Negative","71%","--","--","--","That all peaceful protests are guaranteed the right to proceed.","Neutral","68%","Check the basis of the group to determine its motives. ","Neutral","62%","False"
"","","8ba299c2-74ac-4725-9396-33f8b03f06a0","","Very liberal","21-29","Community member","Male","White","--","--","--","--","--","--","peaceful/no violence

educational

scheduled

well known","Neutral","55%","violence","Negative","63%","Yes","As long as the demonstration is peaceful to humans, there is nothing wrong with it","Neutral","70%","--","--","--","Making sure the protesters are protected from angry bystanders and power hungry cops","Neutral","74%","appropriate police presence","Neutral","69%","False"
"","","97d2d4b9-bf74-408c-8348-2a56774f9737","","Very liberal","30-39","Community member","Male","White","--","--","--","--","--","--","I think the main feature of a protest should be a strong, organized cause. Too often people join protests just for the sake of joining a protest and not because they care about the issue being fought against. This is rather unfortunate as it often ends up reflecting poorly on the protest leaders.","Negative","52%","When there is a mostly a lack of violence. A little property damage here and there, eh, that happens in protests around the world. It's nothing new in this country. I just think sometimes we focus too much on the property damage and not the cause being fought for.","Negative","41%","Yes","It further emboldened me to get involved in future protests.
","Negative","62%","--","--","--","For one thing, de-militarizing the police. Protests often get somewhat rowdy, while not outright violent or dangerous. I feel as though a lot of times the police overcompensate and escalate things.","Negative","51%","I'm not sure.","Neutral","26%","False"
"","","7a6c7121-d19e-4926-b7de-9026a6961fac","","Moderate","40-49","Current student","Female","White","--","--","--","--","--","--","No violence or trespassing and no blocking traffic or blocking people entrance into buildings. you have a right to protest but others have a right to go about their daily business","Neutral","53%","yelling, vandalism, blocking traffic, blocking buildings, trespassing, violence, rioting","Negative","78%","No","--","--","--","don't like to be around crowds of people. ","Negative","59%","more cops around ","Negative","42%","ARRESTING THEM","Neutral","62%","False"
"","","9aa2cfa4-3027-4eb8-ba70-73319750b969","","Very liberal","30-39","Community member","Male","--","Black or African American","--","--","--","--","--","no violence, and no direct harm to any person or group","Positive","56%","violence or harming others in any way","Negative","75%","No","--","--","--","people tend to get carried away with it. i can control myself but not others","Neutral","57%","only gather with a small group and have others there to supervise it","Neutral","56%","only allow a small amount of people to ease the crowd control","Neutral","54%","False"
"","","e8341e45-6f3f-414f-b175-4b7dfdf331ba","","Moderate","30-39","Community member","Male","White","--","--","--","--","--","--","Being peaceful is the most appropriate aspect.","Positive","53%","Violence","Negative","63%","No","--","--","--","Worried that it will become violent or people will end up fighting with each other","Negative","74%","Police not escalating situations or overreacting and making them worse. People facing repercussions when they escalate these situations and make them violent.","Negative","61%","I'm not entirely sure but I think making the consequences greater for when they do get out of hand and holding those responsible to be accountable for their actions would help.","Neutral","58%","False"
"","","0c4c01d4-34f4-441e-90e7-601ff7c6d63f","","Slightly liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","0aef5fd5-660b-47f6-8974-f2db537725f4","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","That it is our right to protest by law and speak out minds.","Neutral","55%","Violence and anger. Destroying property and hurting other people.","Negative","83%","No","--","--","--","I feel like it really doesn't matter if I do it or not. Most things do not change and I don't have the money or influence to help change.","Neutral","41%","Arresting or fining the violent ones","Neutral","51%","Not allow any kinds of weapons or violence","Negative","61%","False"
